Diseases,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5
Influenza,Fever, Body aches,Cough,Sore throat,
Diabetes Mellitus,Increased thirst,Frequent urination,Fatigue,,
Hypertension,Headaches,Shortness of breath,Nosebleeds,,
Asthma,Wheezing,Coughing,Chest tightness,Shortness of breath,
Chickenpox,Itchy rash,Fever,Fatigue,Loss of appetite,
Tuberculosis,Coughing,Weight loss,Night sweats,Fever,
Hepatitis,Fatigue,Jaundice,Abdominal pain,Dark urine,
Heart Disease,Chest pain,Shortness of breath,Fatigue,Palpitations,
Arthritis,Joint pain,Stiffness,Swelling,Reduced range of motion,
Allergies,Sneezing,Itching,Runny nose,Hives,
Depression,Persistent sadness,Fatigue,Loss of interest,,
Anxiety Disorders,Excessive worry,Restlessness,Difficulty concentrating,,
Gastroesophageal Reflux Disease (GERD),Heartburn,Regurgitation,Difficulty swallowing,,
Stroke,Sudden numbness,Confusion,Trouble speaking,Severe headache,
Pneumonia,Cough,Fever,Difficulty breathing,,
Celiac Disease,Diarrhea,Bloating,Weight loss,Fatigue,
Fibromyalgia,Widespread pain,Fatigue,Sleep disturbances,,
Multiple Sclerosis,Numbness,Vision problems,Fatigue,Coordination issues,
Kidney Disease,Swelling,Fatigue,Changes in urine output,,
Skin Cancer,New or changing moles,Itching,Bleeding,Sores,
Lyme Disease,Fever,Headache,Fatigue,Characteristic rash,
Sickle Cell Anemia,Pain episodes,Fatigue,Swelling,Frequent infections,
Parkinson’s Disease,Tremors,Stiffness,Slow movement,Balance issues,
HIV/AIDS,Flu-like symptoms,Weight loss,Night sweats,,
Zika Virus,Fever,Rash,Joint pain,Conjunctivitis,
Alzheimers Disease,Memory loss,Confusion,Difficulty in problem-solving,Personality changes,
Chronic Fatigue Syndrome,Extreme fatigue,Sore throat,Headaches,Unrefreshing sleep,
Psoriasis,Red patches,Dry skin,Itching,Burning sensation,
Irritable Bowel Syndrome,Abdominal pain,Bloating,Diarrhea,Constipation,
Migraine,Severe headache,Nausea,Sensitivity to light,Dizziness,
Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,
Gout,Joint pain,Redness,Swelling,Stiffness,
Bronchitis,Persistent cough,Mucus production,Fatigue,Chest discomfort,
Sinusitis,Nasal congestion,Facial pain,Headache,Fever,
Hyperthyroidism,Weight loss,Rapid heartbeat,Sweating,Irritability,
Hypothyroidism,Fatigue,Weight gain,Cold intolerance,Dry skin,
Gallbladder Disease,Abdominal pain,Nausea,Vomiting,Indigestion,
Pancreatitis,Abdominal pain,Nausea,Vomiting,Fever,
Meningitis,Severe headache,Stiff neck,Sensitivity to light,Nausea,
Ulcerative Colitis,Abdominal pain,Diarrhea,Blood in stool,Fatigue,
Crohn’s Disease,Abdominal pain,Diarrhea,Weight loss,Fatigue,
Lupus,Fatigue,Joint pain,Skin rash,Fever,
Eczema,Itchy skin,Dry skin,Red patches,Swelling,
Diverticulitis,Abdominal pain,Nausea,Vomiting,Fever,
Deep Vein Thrombosis (DVT),Leg pain,Swelling,Redness,Warmth in affected area,
Glaucoma,Eye pain,Blurred vision,Halos around lights,Nausea,
Cataracts,Clouded vision,Sensitivity to light,Difficulty seeing at night,Fading colors,
Retinitis Pigmentosa,Vision loss,Night blindness,Tunnel vision,Sensitivity to bright lights,
Macular Degeneration,Blurred vision,Difficulty reading,Distorted vision,Dark spots in vision,
Tetanus,Muscle stiffness,Jaw cramping,Difficulty swallowing,Muscle spasms,
Whooping Cough,Severe cough,Vomiting after coughing,Fatigue,Difficulty breathing,
Leprosy,Skin lesions,Numbness in limbs,Weakness,Eye problems,
Ebola Virus Disease,Fever,Severe headache,Muscle pain,Unexplained bleeding,
Dengue Fever,High fever,Severe headaches,Joint pain,Rash,
Malaria,Fever,Chills,Sweats,Fatigue,
Cholera,Diarrhea,Vomiting,Dehydration,Leg cramps,
Rabies,Fever,Confusion,Excessive salivation,Agitation,
Anthrax,Sore throat,Muscle aches,Fever,Skin ulcers,
Legionnaires’ Disease,Cough,Shortness of breath,Fever,Muscle aches,
Hantavirus,Fever,Muscle aches,Fatigue,Shortness of breath,
Toxoplasmosis,Flu-like symptoms,Muscle pain,Swollen lymph nodes,Eye pain,
Shingles,Painful rash,Blisters,Tingling sensation,Fever,
Measles,Fever,Cough,Runny nose,Rash,
Mumps,Swollen salivary glands,Fever,Headache,Muscle aches,
Rubella,Rash,Fever,Headache,Swollen lymph nodes,
Typhoid Fever,High fever,Weakness,Stomach pain,Headaches,
Plague,Fever,Swollen lymph nodes,Headaches,,
Lassa Fever,Fever,Headache,Chest pain,Vomiting,
Cystic Fibrosis,Persistent cough,Lung infections,Wheezing,Poor growth,
Hemophilia,Excessive bleeding,Joint pain,Bruising easily,Prolonged bleeding,
Scleroderma,Skin tightening,Joint pain,Acid reflux,Shortness of breath,
Addison’s Disease,Fatigue,Weight loss,Low blood pressure,Darkening of the skin,
Cushing’s Syndrome,Weight gain,Fatty deposits around the face,Thin skin,High blood pressure,
Graves' Disease,Anxiety,Tremors,Weight loss,Rapid heartbeat,
Osteoporosis,Bone fractures,Loss of height,Back pain,Stooped posture,
Rheumatic Fever,Fever,Joint pain,Chest pain,Fatigue,
Scarlet Fever,Sore throat,Rash,Fever,Red tongue,
Marfan Syndrome,Tall stature,Long limbs,Heart murmurs,Curved spine,
Osteomyelitis,Bone pain,Fever,Swelling,Warmth in affected area,
Wilson's Disease,Jaundice,Tremors,Slurred speech,Difficulty walking,
Tinnitus,Ringing in the ears,Hearing loss,Ear pain,Dizziness,
Raynaud’s Disease,Cold fingers/toes,Numbness in extremities,Color changes in skin,Pain in affected areas,
Vitiligo,Loss of skin color,Premature graying of hair,Sensitivity to sunlight,Patchy skin discoloration,
Bell's Palsy,Facial weakness,Drooping of one side,Difficulty closing eye,Altered taste,
Hashimoto's Thyroiditis,Fatigue,Weight gain,Depression,Sensitivity to cold,
Reye's Syndrome,Vomiting,Lethargy,Confusion,Seizures,
Kawasaki Disease,High fever,Red eyes,Swollen lymph nodes,Rash on hands and feet,
Guillain-Barré Syndrome,Weakness in legs,Difficulty walking,Tingling in extremities,Muscle pain,
Henoch-Schönlein Purpura,Rash,Abdominal pain,Joint pain,Blood in urine,
Pemphigus,Blisters,Mouth sores,Skin peeling,Painful skin,
Ehlers-Danlos Syndrome,Hypermobile joints,Soft skin,Easy bruising,Stretchy skin,
Sjögren's Syndrome,Dry eyes,Dry mouth,Joint pain,Fatigue,
Goodpasture Syndrome,Coughing blood,Fatigue,Shortness of breath,Kidney problems,
Achalasia,Difficulty swallowing,Regurgitation,Chest pain,Weight loss,
Addisonian Crisis,Severe weakness,Low blood pressure,Vomiting,Confusion,
Amyloidosis,Fatigue,Swollen legs,Shortness of breath,Irregular heartbeat,
Behçet's Disease,Mouth ulcers,Genital sores,Eye inflammation,Joint pain,
Chikungunya,High fever,Joint pain,Rash,Fatigue,
Myasthenia Gravis,Muscle weakness,Drooping eyelids,Difficulty swallowing,Fatigue,
Thalassemia,Fatigue,Pale skin,Enlarged spleen,Bone deformities,
Scurvy,Fatigue,Swollen gums,Bruising,Joint pain,
Toxic Shock Syndrome,High fever,Low blood pressure,Rash,Confusion,
Pheochromocytoma,High blood pressure,Sweating,Rapid heartbeat,Headache,
Babesiosis,Fever,Chills,Muscle pain,Fatigue,
Hidradenitis Suppurativa,Painful lumps under skin,Swollen areas,Skin infections,Scarring,
Porphyria,Abdominal pain,Sensitivity to sunlight,Muscle weakness,Red or brown urine,
Gaucher Disease,Enlarged spleen,Fatigue,Bone pain,Bruising,
Tay-Sachs Disease,Muscle weakness,Loss of motor skills,Seizures,Blindness,
Huntington's Disease,Uncontrolled movements,Cognitive decline,Depression,Personality changes,
Creutzfeldt-Jakob Disease,Memory loss,Confusion,Difficulty walking,Hallucinations,
Fragile X Syndrome,Learning disabilities,Speech delays,Behavioral issues,Large ears,
Turner Syndrome,Short stature,Delayed puberty,Heart defects,Webbed neck,
Klinefelter Syndrome,Delayed puberty,Breast development,Low muscle mass,Learning disabilities,
Angelman Syndrome,Developmental delays,Lack of speech,Seizures,Frequent laughter,
Prader-Willi Syndrome,Constant hunger,Obesity,Delayed development,Short stature,
Dandy-Walker Syndrome,Developmental delays,Enlarged head,Muscle stiffness,Poor coordination,
Von Hippel-Lindau Disease,Headaches,Dizziness,Vision problems,Tumors,
Li-Fraumeni Syndrome,Bone pain,Easy bruising,Vision problems,Tumor formation,
Neurofibromatosis,Skin tumors,Freckles in armpit area,Bone deformities,Vision loss,
Carpal Tunnel Syndrome,Numbness in hand,Tingling fingers,Weak grip,Pain in wrist,
Spina Bifida,Back pain,Weakness in legs,Loss of bladder control,Visible gap in spine,
Hydrocephalus,Enlarged head,Headache,Vomiting,Poor balance,
Charcot-Marie-Tooth Disease,Muscle weakness,Foot drop,Loss of sensation,High arches in feet,
Barrett’s Esophagus,Heartburn,Difficulty swallowing,Chest pain,Vomiting blood,
